,종목명,날짜,제목,본문,SN_caller,SL_caller,NNP_caller,NNG_caller,SF_caller,SS_caller,SW_caller,SP_caller,NR_caller,NNB_caller,JKB_caller,JX_caller,XSN_caller,JC_caller,JKO_caller,MAG_caller,JKG_caller,VV_caller,EC_caller,XSV_caller,EP_caller,MAJ_caller,ETM_caller,XPN_caller,MM_caller,JKS_caller,VCP_caller,VA_caller,NA_caller,XR_caller,ETN_caller,XSA_caller,SO_caller,NP_caller,EF_caller,VX_caller,VCN_caller,SH_caller,IC_caller,JKV_caller,SN_other,SL_other,NNP_other,NNG_other,SF_other,SS_other,SW_other,SP_other,NR_other,NNB_other,JKB_other,JX_other,XSN_other,JC_other,JKO_other,MAG_other,JKG_other,VV_other,EC_other,XSV_other,EP_other,MAJ_other,ETM_other,XPN_other,MM_other,JKS_other,VCP_other,VA_other,NA_other,XR_other,ETN_other,XSA_other,SO_other,NP_other,EF_other,VX_other,VCN_other,SH_other,IC_other,JKV_other,stock_name,price,price + 30days
0,대우건설,24.07.31,"2Q24 영업이익, 컨센서스(1,237억원) -15% 하회","2Q24 매출액 2.8조원(YoY -14%), 영업이익 1,048억원(YoY -52%, OPM 3.7%)으로 영업이익은 당사 추정치와 컨센서스를 각각 -18%, -15% 하회. 싱가폴, 중동 등 해외 현장에서의 비용 증가에 따라 토목 부문의 GPM이 3.3%(QoQ -7.6%p)로 악화되었으나 일부 주택/건축 현장에서의 실행원가 개선 및 도급증액, 플랜트 매출 믹스 개선, 연결종속 부문의 토지매각 이익 인식에 따라 GPM은 9.8%(QoQ +1.1%p) 기록. 그러나 지방 소재 준공 후 미분양 사업장의 매출채권에 대한 대손상각비 -520억원이 반영되며 실적이 부진",20.0,10.0,19.0,36.0,8.0,14.0,10.0,8.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,19.0,36.0,8.0,14.0,10.0,8.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,대우건설,3795,3600
6,넷마블,24.07.31,변화로 인한 재평가로 인한 큰 폭 주가 상승 전망,"오랜 기간 부진을 끝내고 완전히 달라진 실적과 신작, 그리고 상장사 중 가장 안정적인 포트폴리오로 재평가되며 주가 큰 폭 상승 전망",0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,넷마블,59500,47900
8,유한양행,24.07.31,"투자의견 매수, 목표주가 134,000원 유지","목표주가는 SOTP 방식으로 산출. 영업가치는 25년 추정 EBITDA에 Target EV/EBITDA 멀티플 21배 적용하여 4.3조원으로 산정. 비영업가치는 레이저티닙, YH35324 신약가치에 보유지분 가치를 더하여 5.5조원 추정. 총 기업가치는 영업가치에 비영업가치를 더하여 9.9조원으로 산정.",9.0,6.0,11.0,14.0,7.0,0.0,0.0,1.0,3.0,4.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,11.0,14.0,7.0,0.0,0.0,1.0,3.0,4.0,6.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유한양행,160000,119700
10,롯데칠성,24.07.31,"투자의견 BUY, 목표주가 170,000원 유지",상반기 부진했던 별도법인은 1) 3분기 계절적 성수기 진입 2) 6월 음료 주요 제품 출고가 인상 3) 원당 가격 하락전환으로 점진적 원가 부담 완화로 하반기 이익 개선 예상. 또한 PCPPI를 포함한 해외 자회사의 외형 성장과 수익성 개선이 이번 분기 확인되며 하반기 실적 기여도 확대 전망 1) 하반기 실적 턴어라운드 2) 해외 사업 확대 3) 낮은 밸류에이션(12MF P/E  8배 수준)은 동사 주가 모멘텀으로 작용하기에 충분하다는 판단,9.0,3.0,13.0,46.0,1.0,8.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,13.0,46.0,1.0,8.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,롯데칠성,120700,115900
13,현대오토에버,24.07.31,"투자의견 매수 유지, 목표주가 230,000원 상향(+5%)","TP 23만원은 2024~25년 평균 EPS 7,268원에 Target PER 32배 부여. 목표 배수는 실적/성장 기대감 동반 반영됐던 ‘23말~24초 밸류에 3Q24 대규모 일회성 이익 반영에 따른 실적 변동성 감안하여 10% 할인). TP 상향은 이익 추정치 상향에 기인 7/29~30일 NDR을 통해 1) 3Q24 단가협상에 따른 일회성 이익 반영, 2) 그룹사 내 SI 업체로서 입지 확대, 3) SDV 확장에 따른 수혜 가능성 확인. 2H24 1) 3Q 실적 호조, 2) 그룹사 공정개선의 수혜(차세대 ERP/스마트팩토리), 3) 고객사 인도 성장 수혜(차량SW), 4) 자율주행&밸류업 모멘텀 감안 시, 주가 뚜렷한 우상향 예상, 전고점(24만원)에 재차 근접할 가능성 높다고 판단",24.0,14.0,22.0,47.0,3.0,15.0,2.0,11.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,22.0,47.0,3.0,15.0,2.0,11.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,현대오토에버,138700,141100
20,유한양행,24.07.31,2Q24P Review,"연결 기준, 2Q24P 매출액 5,283억(+7% YoY), 영업이익 185억원(-32% YoY), 영업이익률 3.5%(-2%p YoY)을 기록하며 매출액은 컨센서스에 부합, 영업이익은 -9% 하회했다.",10.0,6.0,6.0,9.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,유한양행,160000,119700
22,대우건설,24.07.31,2Q24 Review: 시장 예상치 하회,"2024년 2분기, 대우건설 잠정 실적은 매출액 2.82조원(-13.8%, YoY), 영업이익 1,048억원(-51.9%, YoY)으로 시장 예상치(1,237억원, 1개월 기준)를 15% 하회했다. 토목 부문에서는 싱가포르와 중동 현장의 원가 상승 요인이 반영됐으나, 주택을 비롯한 사업 부문 원가율은 전분기 대비 개선되었다. 연결종속 부문에서는 베트남 토지 매각 실적이 마진율 개선 요인으로 작용했다. 다만, 판매관리비에는 2023년 4분기에 이어 미분양 주택 관련 대손 약 520억원이 반영되었다. 세전이익 개선에는 나이지리아 현지 통화 약세에 따른 환 평가이익 300억원이 기여했다.",18.0,2.0,18.0,41.0,8.0,8.0,3.0,9.0,4.0,7.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,18.0,41.0,8.0,8.0,3.0,9.0,4.0,7.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,대우건설,3795,3600
28,한화시스템,24.07.31,2Q24 Review: 영업이익 컨센서스 79.1% 상회,"2Q24 매출액 6,873억 원 (+12.6% YoY, 컨센 대비 2% 상회), 영업이익 798억 원 (+167.1% YoY, 컨센 대비 79.1% 상회)으로 어닝 서프라이즈를 기록했다. 전사 영업이익률은 무려 11.6%에 달했다. 주된 컨센서스 상회 요인은 폴란드 K2 납품 대량인식과 방산원가 보상금 정산이다. 반면, 세전이익과 당기순이익은 각각 86억 원, 271억 원에 불과했다. 지분법 손실 95억 원 (오버에어 40억, 한화페이저 55억) 및 오버에어 전환사채 미전환에 따른 대손상각비 446억원 발생 영향이다. 방산 부문은 매출액 4,932억 원 (+10.1% YoY), 영업이익 609억 원 (+116% YoY, OPM 12.3%)으로 호실적을 달성했다. 하반기에 인도될 폴란드 K2 38대에 대한 항전장비 물량납품이 대량인식된 것으로 파악된다. ICT 부문도 매출액 1,901억 원 (+17.1% YoY), 영업이익은 232억 원 (+110.9% YoY, OPM 12.2%)으로 견조했다. 캡티브 물량 외에도 신한EZ손해보험 차세대 시스템 등 고마진 사업의 비중이 증가한 영향이다. 더불어, PPA 상각비 미반영 효과도 수익성을 높이는데 일조했다.",37.0,11.0,36.0,51.0,19.0,14.0,17.0,14.0,12.0,14.0,10.0,10.0,3.0,2.0,3.0,2.0,1.0,8.0,4.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,36.0,51.0,19.0,14.0,17.0,14.0,12.0,14.0,10.0,10.0,3.0,2.0,3.0,2.0,1.0,8.0,4.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,한화시스템,18600,28250
31,삼성SDI,24.07.31,24 년 2 분기 리뷰: 수요 부진과 재고조정,"2분기 영업이익은 2,802억원(-38%, 이하 YoY)를 기록했다. 컨센서스(3,320억원)을 다소 하회하는 실적이나, 최근 낮아진 시장 눈높이 수준에 부합했다. 전기차 중대형 배터리는 분기 초 예상과 반대로 Q가 25% 감소했고, ASP는 12% 상승했다. 고객사의 EV 수요가 부진한 가운데 재고조정이 본격화되며 반등 시점이 지연된다. ASP 상승은 출하량 감소 환경에서 PHEV 와 배터리’팩’의 판매 비중이 높아졌기 때문이다. 매출이 부진한 가운데 고객사의 보상금으로 영업이익은 전분기대비 소폭 증가했다.",8.0,6.0,10.0,41.0,6.0,7.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,10.0,6.0,0.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,10.0,41.0,6.0,7.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,10.0,6.0,0.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,삼성SDI,334500,262500
35,한화시스템,24.07.31,"2분기 매출 6,873억원/영업이익 798억원","한화시스템의 2분기 매출은 6,873억원/영업이익 798억원(OPM 11.6%)로 컨센서스 및 당사 추정치 대비 매출은 부합하였으며, 영업이익은 컨센서스 및 당사 추정치를 각각 +15.6%, +31.6%를 상회하는 호실적을 기록하였다. 방산 및 ICT부문이 고른 성장을 보였다. 방산 매출 4,932억원/영업이익 609억원(OPM 12.3%)를 기록했으며, 폴란드 K2사통장비 매출 증가 및 TICN4차 양산으로 인한 매출 증가와 수출사업 비중 증가 및 내부 원가절감 노력에 힘입어 영업이익의 상승을 보였다. ICT부문에서도 대규모 사업인 한화에어로시스템 ERP사업 등의 매출이 늘어나면서 매출 성장 및 영업이익 증가를 기록하였다. 다만 하반기에는 상반기 순연되었던 인력 채용 및 국내사업 개발비용 집행(상반기 110억/하반기 240억 예상)및 통상 4분기 지급되는 성과급 관련 비용 등을 반영, 영업이익률은 상반기보다 다소 감소할 것으로 전망한다. 그러나 2025년에는 올해 6월 계약된 KF-21용 AESA레이더 최초양산, K-2 인도 대수 증가(24년 56대->25년 96대), 사우디 M-SAM 양산 시작 등 매출 및 영업이익 상승 포인트가 줄줄이 대기하고 있어 다시금 안정적인 상승 흐름을 보일 전망이다.",23.0,11.0,39.0,72.0,10.0,12.0,6.0,11.0,6.0,12.0,8.0,7.0,5.0,1.0,9.0,5.0,3.0,8.0,7.0,12.0,7.0,11.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,39.0,72.0,10.0,12.0,6.0,11.0,6.0,12.0,8.0,7.0,5.0,1.0,9.0,5.0,3.0,8.0,7.0,12.0,7.0,11.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,한화시스템,18600,28250
